Name,Condition,Temperature Minimum,Temperature Maximum
Ashkāsham,broken clouds,275.28,275.28
Fayzabad,overcast clouds,290.98,290.98
Jurm,overcast clouds,287.12,287.12
Khandūd,few clouds,274.61,274.61
Ghormach,scattered clouds,301.04,301.04
Qala i Naw,few clouds,304.12,304.12
Baghlan,broken clouds,301.1,301.1
Ḩukūmatī Dahanah-ye Ghōrī,broken clouds,299.24,299.24
Nahrin,overcast clouds,297.72,297.72
Pul-e Khumrī,broken clouds,300.89,300.89
Balkh,overcast clouds,300.12,300.12
Dowlatābād,broken clouds,290.97,290.97
Khulm,overcast clouds,299.11,299.11
Lab-Sar,overcast clouds,300.33,300.33
Mazari Sharif,overcast clouds,300.22,300.22
Qarchī Gak,overcast clouds,300.53,300.53
Bāmyān,broken clouds,284.25,284.25
Panjāb,clear sky,275.35,275.35
Nīlī,clear sky,289.6,289.6
Farah,clear sky,301.95,301.95
Andkhōy,broken clouds,302.07,302.07
Maymana,scattered clouds,300.59,300.59
Ghazni,broken clouds,290.31,290.31
Fayrōz Kōh,clear sky,289.22,289.22
Shahrak,clear sky,290.09,290.09
‘Alāqahdārī Dīshū,few clouds,306.77,306.77
Gereshk,scattered clouds,302.36,302.36
Lashkar Gah,scattered clouds,303.26,303.26
Markaz-e Ḩukūmat-e Darwēshān,broken clouds,304.21,304.21
Sangīn,scattered clouds,301.52,301.52
Chahār Burj,clear sky,303.46,303.46
Ghōriyān,few clouds,303.34,303.34
Herat Province,clear sky,301.96,301.96
Kafir Qala,broken clouds,303.77,303.77
Karukh,clear sky,300.05,300.05
Kuhsān,broken clouds,303.86,303.86
Kushk,clear sky,301.97,301.97
Qarah Bāgh,few clouds,301.91,301.91
Shīnḏanḏ,clear sky,301.67,301.67
Tīr Pul,scattered clouds,303.52,303.52
Zindah Jān,scattered clouds,303.73,303.73
Āqchah,broken clouds,300.84,300.84
Darzāb,scattered clouds,298.07,298.07
Qarqīn,overcast clouds,303.56,303.56
Shibirghān,broken clouds,301.25,301.25
Kabul,overcast clouds,291.94,291.94
Mīr Bachah Kōṯ,overcast clouds,292.68,292.68
Paghmān,overcast clouds,286.29,286.29
Kandahar,broken clouds,299.96,299.96
Khōst,overcast clouds,297.13,297.13
Asadābād,broken clouds,284.91,284.91
Āsmār,broken clouds,292.46,292.46
Dasht-e Archī,overcast clouds,299.67,299.67
Imām Şāḩib,overcast clouds,300.14,300.14
Khanabad,overcast clouds,300.13,300.13
Kunduz Province,overcast clouds,299.97,299.97
Qarāwul,overcast clouds,300.3,300.3
Mehtar Lām,overcast clouds,298.79,298.79
Baraki Barak,overcast clouds,291.01,291.01
Ḩukūmatī Azrah,overcast clouds,283.39,283.39
Pul-e ‘Alam,overcast clouds,290.34,290.34
Bāsawul,overcast clouds,301.41,301.41
Jalalabad,overcast clouds,300.57,300.57
Markaz-e Woluswalī-ye Āchīn,overcast clouds,296.87,296.87
Khāsh,clear sky,300.91,300.91
Mīrābād,clear sky,307.49,307.49
Rūdbār,clear sky,307.51,307.51
Zaranj,clear sky,306.85,306.85
Pārūn,broken clouds,279.58,279.58
Gardez,overcast clouds,289.67,289.67
Zaṟah Sharan,overcast clouds,291.12,291.12
Zarghūn Shahr,overcast clouds,290.56,290.56
Bāzārak,overcast clouds,284.82,284.82
Charikar,overcast clouds,293.52,293.52
Jabal Saraj,overcast clouds,292.44,292.44
Aībak,broken clouds,299.65,299.65
Chīras,few clouds,282.01,282.01
Larkird,scattered clouds,289.59,289.59
Qal‘ah-ye Shahr,few clouds,290.69,290.69
Sang-e Chārak,broken clouds,296.58,296.58
Sar-e Pul,scattered clouds,296.41,296.41
Tagāw-Bāy,few clouds,294.14,294.14
Tukzār,overcast clouds,298.6,298.6
Ārt Khwājah,overcast clouds,299.26,299.26
Taloqan,overcast clouds,297.93,297.93
Tarinkot,scattered clouds,297.25,297.25
Oruzgan,few clouds,295.05,295.05
Qalāt,overcast clouds,295.63,295.63
Banaj,overcast clouds,288.94,288.94
Berat,overcast clouds,288.84,288.84
Çorovodë,overcast clouds,286.35,286.35
Kuçovë,overcast clouds,289.32,289.32
Poliçan,overcast clouds,288.43,288.43
