city_name,Condition,Temperature Minimum,Temperature Maximum,latittude,longitude,country_name,state_name,iso_country_code,continent,location,total_cases,total_deaths
Acrelândia,overcast clouds,301.01,301.01,-9.98045000,-66.84388000,Brazil,Acre,BRA,South America,Brazil,37511921.0,702116.0
Água Branca,broken clouds,305.14,305.14,-9.26988000,-37.91917000,Brazil,Alagoas,BRA,South America,Brazil,37511921.0,702116.0
Amapá,overcast clouds,300.18,300.18,1.85706000,-50.84374000,Brazil,Amapá,BRA,South America,Brazil,37511921.0,702116.0
Alvarães,overcast clouds,302.08,302.08,-3.22083000,-64.80417000,Brazil,Amazonas,BRA,South America,Brazil,37511921.0,702116.0
Abaíra,overcast clouds,298.14,298.14,-13.32129000,-41.69759000,Brazil,Bahia,BRA,South America,Brazil,37511921.0,702116.0
Abaiara,light rain,299.76,299.76,-7.33642000,-39.06129000,Brazil,Ceará,BRA,South America,Brazil,37511921.0,702116.0
Brasília,few clouds,299.66,301.51,-15.77972000,-47.92972000,Brazil,Distrito Federal,BRA,South America,Brazil,37511921.0,702116.0
Afonso Cláudio,broken clouds,297.96,297.96,-20.10512000,-41.12422000,Brazil,Espírito Santo,BRA,South America,Brazil,37511921.0,702116.0
Abadia de Goiás,scattered clouds,303.2,303.2,-16.77762000,-49.46841000,Brazil,Goiás,BRA,South America,Brazil,37511921.0,702116.0
Açailândia,broken clouds,302.61,302.61,-4.69214000,-47.34302000,Brazil,Maranhão,BRA,South America,Brazil,37511921.0,702116.0
Bamboo Flat,broken clouds,300.2,300.2,11.70000000,92.71667000,India,Andaman and Nicobar Islands,IND,Asia,India,45041748.0,533623.0
Addanki,broken clouds,303.78,303.78,15.81061000,79.97338000,India,Andhra Pradesh,IND,Asia,India,45041748.0,533623.0
Along,scattered clouds,289.46,289.46,28.16951000,94.80060000,India,Arunachal Pradesh,IND,Asia,India,45041748.0,533623.0
Abhayapuri,scattered clouds,301.56,301.56,26.32255000,90.68526000,India,Assam,IND,Asia,India,45041748.0,533623.0
Amarpur,scattered clouds,299.92,299.92,25.03967000,86.90247000,India,Bihar,IND,Asia,India,45041748.0,533623.0
Chandigarh,few clouds,297.21,297.21,30.73629000,76.78840000,India,Chandigarh,IND,Asia,India,45041748.0,533623.0
Akaltara,broken clouds,303.09,303.09,22.02463000,82.42641000,India,Chhattisgarh,IND,Asia,India,45041748.0,533623.0
Amli,clear sky,299.6,299.6,20.28333000,73.01667000,India,Dadra and Nagar Haveli and Daman and Diu,IND,Asia,India,45041748.0,533623.0
Alipur,clear sky,304.76,304.76,28.79862000,77.13314000,India,Delhi,IND,Asia,India,45041748.0,533623.0
Aldona,clear sky,299.51,299.51,15.59337000,73.87482000,India,Goa,IND,Asia,India,45041748.0,533623.0
Abbeville,overcast clouds,293.98,293.98,31.57184000,-85.25049000,United States,Alabama,USA,North America,United States,103436829.0,1193165.0
Akutan,overcast clouds,270.19,270.19,54.13350000,-165.77686000,United States,Alaska,USA,North America,United States,103436829.0,1193165.0
Ahwatukee Foothills,few clouds,300.03,302.91,33.34171000,-111.98403000,United States,Arizona,USA,North America,United States,103436829.0,1193165.0
Alexander,clear sky,290.23,291.86,34.62954000,-92.44127000,United States,Arkansas,USA,North America,United States,103436829.0,1193165.0
Acalanes Ridge,clear sky,283.68,286.75,37.90472000,-122.07857000,United States,California,USA,North America,United States,103436829.0,1193165.0
Acres Green,broken clouds,294.73,297.99,39.55666000,-104.89609000,United States,Colorado,USA,North America,United States,103436829.0,1193165.0
Ansonia,mist,275.21,277.49,41.34621000,-73.07900000,United States,Connecticut,USA,North America,United States,103436829.0,1193165.0
Bear,moderate rain,278.04,279.84,39.62928000,-75.65826000,United States,Delaware,USA,North America,United States,103436829.0,1193165.0
Adams Morgan,overcast clouds,280.69,283.63,38.92150000,-77.04220000,United States,District of Columbia,USA,North America,United States,103436829.0,1193165.0
Aberdeen,overcast clouds,287.42,289.56,26.55063000,-80.14866000,United States,Florida,USA,North America,United States,103436829.0,1193165.0
